年月日,up_down,Open,High,Low,Close,Volume,Turnover rate,Market capitalization,ln_past_return,PE ratio,Dividend yield,ROA,ROE,EBT Margin,Net profit margin growth rate,Current ratio,Quick ratio,D/E ratio,Share capital,Retained earnings,TW_Index,SP_500,Semi,NASDAQ,XLK,QQQ,Fed_interest_rate,TW_unemployment_rate,TW_gdp,TW_economic_index,Rediscount_Rate,Secured_Loan_Rate,1M_Deposit_Rate,1Y_Deposit_Rate,Base_Loan_Rate,Overnight_Weighted_Rate,Commercial_Paper_Rate,10Y_Gov_Bond_Rate,Overall_Index,Food,Clothing,Housing,Transport_Communication,Healthcare,Education_Recreation,Miscellaneous
2019-11-13 00:00:00,0,14.3,14.4,14.2,14.2,32373,0.2761,166485,-0.7018,44.9024,4.1542,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11467.83008,3091.840088,1732.420044,8486.089844,86.44999695,201.5399933,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-14 00:00:00,1,14.2,14.6,14.2,14.5,57937,0.4942,170003,2.0907,45.8511,4.0682,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11450.41992,3094.040039,1732.859985,8482.099609,86.63999939,201.5899963,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-15 00:00:00,0,14.6,14.6,14.25,14.3,39855,0.3399,167658,-1.3889,45.2187,4.1251,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11525.59961,3096.629883,1727.589966,8479.019531,86.54000092,201.4299927,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-18 00:00:00,1,14.6,14.75,14.45,14.5,58847,0.5019,170003,1.3889,45.8511,4.0682,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11599.78027,3096.629883,1727.589966,8479.019531,86.54000092,201.4299927,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-19 00:00:00,1,14.45,14.6,14.35,14.55,37821,0.3226,170589,0.3442,46.0092,4.0543,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11656.40039,3122.030029,1738.780029,8549.94043,87.5,203.0700073,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-20 00:00:00,1,14.55,14.8,14.45,14.75,55131,0.4702,172934,1.3652,46.6416,3.9993,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11631.2002,3120.179932,1730.5,8570.660156,87.66999817,203.3699951,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-21 00:00:00,0,14.6,14.65,14.45,14.65,42654,0.3638,171761,-0.6803,46.3254,4.0266,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11558.26953,3108.459961,1710.140015,8526.730469,87.13999939,202.1499939,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-22 00:00:00,0,14.65,14.7,14.5,14.6,30220,0.2578,171175,-0.3419,46.1673,4.0404,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11566.7998,3103.540039,1690.829956,8506.209961,86.69999695,201.6999969,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-25 00:00:00,1,14.65,15.5,14.65,15,166478,1.4199,175865,2.7029,47.4322,3.9326,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11561.58008,3103.540039,1690.829956,8506.209961,86.69999695,201.6999969,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-11-26 00:00:00,1,15.25,15.4,15.1,15.2,165216,1.4092,178210,1.3245,48.0646,3.8809,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11576.82031,3133.639893,1731.949951,8632.490234,87.84999847,204.2200012,1.83,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
